CROPS,SOIL_PH,TEMP,RELATIVE_HUMIDITY,N,P,K
brinjal,6.3,24.3,90,145.1,70.5,99.3
brinjal,6.3,26.6,90,103.7,71.6,91.4
brinjal,6,28.3,90,124.9,48.7,103.1
brinjal,6.5,24.4,90,147.2,62,104
brinjal,7.3,22.1,90,118.5,69.9,87.8
brinjal,7.2,19.2,90,145.7,62.6,113.3
brinjal,7.3,25.8,90,131.2,52.6,118.1
brinjal,6.9,28.8,90,138.3,43.6,84.4
brinjal,7.4,25.7,90,103.2,77.3,82.5
brinjal,6.1,23.5,90,114.3,62.6,89.2
brinjal,6.6,24,90,133.4,73,115.9
brinjal,6.6,29.3,90,138.5,41.1,118.3
brinjal,6.4,25.9,90,101.1,72.8,107.4
brinjal,6.8,20.3,90,129.7,59.6,85.9
brinjal,6.9,27.5,90,128.1,59.2,112.6
brinjal,6.6,19.4,90,109.9,72,90.8
brinjal,6.6,25.9,90,129,51.2,95.6
brinjal,6.5,18.1,90,136.6,42.1,111.6
brinjal,6.2,29.4,90,136,60.6,110.4
brinjal,6.9,29.8,90,133.9,45.3,106.5
brinjal,6.1,24.7,90,108.4,57.3,118
brinjal,7,27.3,90,119.7,79.3,81
brinjal,7.4,24.2,90,106.9,57.9,101.5
brinjal,7.3,24.9,90,144.3,68.5,82.2
brinjal,6.2,26.3,90,138,44.7,102
brinjal,7.3,25.2,90,132.4,73.6,104.6
brinjal,7.4,22.5,90,123,46.8,108.9
brinjal,6.5,21.9,90,118.3,43.5,109.7
brinjal,6.1,18.5,90,149.2,68.3,94.7
brinjal,6.8,19.9,90,130.3,59.1,92.4
brinjal,6.5,21,90,115.2,71,81.2
brinjal,6.9,26.9,90,138.9,68.8,101.3
brinjal,6.2,21.3,90,107.6,72.2,112.6
brinjal,6,28.2,90,119.7,52.8,99.6
brinjal,7.1,27.7,90,141.9,77,100.7
brinjal,6.3,23.4,90,144.4,68.9,110.1
brinjal,6,18.6,90,135.4,49.1,97.4
brinjal,6.6,28.3,90,144.9,78.5,93.3
brinjal,7.4,24.6,90,128.1,79.9,94.6
brinjal,6.4,23.6,90,124.6,51.7,80.9
brinjal,6.5,19,90,143.3,40.4,96.7
brinjal,6.5,18.8,90,114.5,50,92.4
brinjal,7.1,22,90,108.3,50.3,102.7
brinjal,6.7,22.6,90,117.5,61.1,97.7
brinjal,7.4,29.8,90,130.5,51.9,87.8
brinjal,6.7,19.9,90,148.6,62.6,102.6
brinjal,6.7,26.4,90,118.3,76.3,119.5
brinjal,6.7,22.4,90,102.6,46.6,92.4
brinjal,7.3,22.4,90,113.2,58.3,113
brinjal,7.2,23.1,90,145.2,44.4,82.8
brinjal,6.7,29.2,90,136.4,42.4,100.8
brinjal,6.3,29,90,122.4,79.8,109.1
brinjal,7.4,25.7,90,114.3,69.4,88.9
brinjal,6.6,22.8,90,116.7,62,85.1
brinjal,6.8,26.5,90,142.2,79.2,104.8
brinjal,7.4,29.7,90,127.5,48.1,115.5
brinjal,7.1,21.6,90,100.5,49,82.2
brinjal,7.2,20.6,90,145.4,46.5,98.1
brinjal,7,23,90,103.3,73.4,84.2
brinjal,6.2,26.1,90,143.3,48.3,111.2
brinjal,7.3,28.3,90,144.2,59.3,95.3
brinjal,7.2,28.3,90,107.5,41.2,107
brinjal,7.1,18.7,90,103.1,59.5,93.7
brinjal,6.5,18.4,90,106.2,67.6,94.3
brinjal,6.3,24.9,90,148.4,43.2,118.5
brinjal,6.7,27.1,90,103.2,53.4,119.8
brinjal,6.1,24.3,90,127.1,70.9,92.7
brinjal,6.9,21.4,90,129.3,41.2,81.5
brinjal,6.5,29.2,90,140.5,60.9,103
brinjal,7.2,29.6,90,121.7,53.5,100.6
brinjal,6.3,20.3,90,114.8,60.8,118.2
brinjal,6.4,19.3,90,142,79.3,102.8
brinjal,6.2,22.7,90,127.8,45.9,101.4
brinjal,7,23.8,90,120.4,65.9,116.2
brinjal,6,26.8,90,144.5,61.4,103.7
brinjal,6.8,22,90,117.6,49.3,81.8
brinjal,6.3,27.7,90,138.8,49,102.5
brinjal,7,22.6,90,123.2,49.9,102.2
brinjal,6.8,26.3,90,125.3,60.8,111.7
brinjal,6.7,18.9,90,114.4,77.6,97.7
brinjal,6.3,29,90,105.1,63.2,82
brinjal,6.1,19.7,90,102.7,77.4,112.6
brinjal,6.9,20.4,90,109.1,51.7,97.5
brinjal,6.5,27.3,90,110.4,57,90.1
brinjal,6.4,28.3,90,118.4,63.2,113.8
brinjal,6.7,26.5,90,100.1,70.3,111.5
brinjal,6,28.7,90,131,61.5,118.7
brinjal,7.3,21.7,90,127.9,64.4,88.6
brinjal,6.8,29.6,90,115,58.2,80.2
brinjal,6.7,22.9,90,108.5,65.3,115.3
brinjal,7,28.8,90,143.2,42.8,105.7
brinjal,7.2,29.3,90,125.8,63.6,92.3
brinjal,6.2,28.6,90,101.2,57.1,107.1
brinjal,6.5,20,90,126.8,48.1,83.7
brinjal,7.4,18.1,90,134.1,74.9,80.1
brinjal,7.4,29.3,90,102.8,71.9,104.5
brinjal,6.2,21.8,90,140.9,40.1,94.7
brinjal,7.3,18.8,90,138.5,63.1,96.9
brinjal,7.3,23.8,90,141.9,70.7,96.2
brinjal,6.1,27.5,90,121.4,49.4,109.6
brinjal,6.1,28.4,90,147.3,53.8,104.5
brinjal,6.7,23.9,90,122.4,69,103.2
brinjal,7.3,28.4,90,119.7,71.4,106.2
brinjal,6.1,28.6,90,144.7,79.7,87.1
brinjal,7,29.7,90,112.7,57.2,104
brinjal,6.4,18.4,90,146.5,50.7,96
brinjal,6.3,27.2,90,125.7,78.6,104.7
brinjal,6.3,21.4,90,120.4,55.8,104.8
brinjal,6.3,24.8,90,120,55.9,107.3
brinjal,6.7,19.7,90,132.2,52.4,116.6
brinjal,6.4,26,90,149.5,41.1,110.9
brinjal,7,27.9,90,142.4,79.3,81
brinjal,6.5,24.7,90,127.6,75.2,96.8
brinjal,6.4,18.4,90,136.2,69,100.6
brinjal,7,19.1,90,146.1,48.6,86.6
brinjal,6.3,29.4,90,111.7,76,82.8
brinjal,7.5,22.4,90,107.1,79.3,95
brinjal,7.1,24.8,90,122.7,72.4,109
brinjal,7.4,22.5,90,123.2,67.1,118.5
brinjal,6.1,22.3,90,145.4,46.7,101.4
brinjal,7,20.9,90,133.3,42.8,92.3
brinjal,6.9,23.3,90,112.4,49.9,80.7
brinjal,6.8,24.3,90,131.5,66.2,101.2
brinjal,6.3,27.5,90,132.8,62.2,100.9
brinjal,6.4,24.6,90,132.4,47.6,107.7
brinjal,6.3,23.5,90,120.7,40.2,118.2
brinjal,6.3,22.2,90,141.8,43.9,82
brinjal,7.3,25.6,90,104.7,74.9,89.2
brinjal,6.5,28.1,90,132.5,77.6,83
brinjal,6.1,23.2,90,141.2,62.4,110.1
brinjal,6.9,28.2,90,100.5,45,117.3
brinjal,6.9,19,90,126.9,78.1,93.5
brinjal,6.8,22.4,90,109.3,44.9,97.2
brinjal,6.9,21,90,135.3,62.5,103.8
brinjal,7,25.1,90,120.5,53.9,97.2
brinjal,6.6,19.6,90,134,73.3,102.9
brinjal,7,29.6,90,139.6,60.4,118
brinjal,6.4,25.7,90,119.4,48.4,98.6
brinjal,7.4,20.5,90,112.3,45,96.5
brinjal,7.5,29.7,90,108.7,64.3,106.8
brinjal,6.7,23.4,90,128.3,56.5,108.1
brinjal,6.8,28.6,90,111,77.6,93.2
brinjal,7.4,21.2,90,106.7,41.4,116.8
brinjal,6.1,22.3,90,133.4,72.8,110
brinjal,6.7,21.9,90,104.7,47,101.2
brinjal,7.5,29.1,90,134.9,56.5,106.5
brinjal,6.8,18.3,90,146.6,51.1,95.6
brinjal,7.1,28.3,90,123.5,40.5,87.8
brinjal,7.4,19.5,90,132.9,59.3,114.4
brinjal,7.2,19.8,90,106.2,64.8,102.7
brinjal,6.6,29.9,90,125.2,41.4,103.1
brinjal,6.4,21.4,90,137.5,70.6,112.6
brinjal,6,26.7,90,118.8,61.1,91.9
brinjal,7.3,28.5,90,129.2,46.5,89.5
brinjal,7.3,29.1,90,129.7,52.4,85.6
brinjal,6.5,18.3,90,102.7,69.3,105.4
brinjal,6.7,20.3,90,105.3,63.4,118.4
brinjal,7.1,18.8,90,127.3,40.5,96.5
brinjal,6.1,25.9,90,119,65.3,107.6
brinjal,6.4,18.1,90,108.8,66.6,100.5
brinjal,7.4,29.4,90,129,73.7,94.8
brinjal,6.6,29.3,90,143.7,78.2,109.2
brinjal,6,26.6,90,109.8,62.2,108.3
brinjal,7.3,23.7,90,137.1,67.2,102.9
brinjal,7,22.8,90,109.2,65.6,103.6
brinjal,7.1,21.4,90,144.7,56.7,114.4
brinjal,6.3,29,90,144.7,40.1,90.9
brinjal,6.1,27.7,90,130.4,62.1,86.6
brinjal,7,24,90,107.7,51.2,85
brinjal,6.3,25.4,90,102.9,70.9,106.9
brinjal,6.9,22.2,90,126.5,65.5,100.5
brinjal,6.3,22.1,90,128.3,61,119.2
brinjal,6.9,29.5,90,103.9,46.6,104.2
brinjal,6.1,25.4,90,126.7,75.9,88.5
brinjal,6,18.3,90,116.5,51.8,84.4
brinjal,6.7,24.7,90,106.3,75.1,113.3
brinjal,6.8,27.3,90,120.6,76.9,95.6
brinjal,6.2,19.2,90,129.3,51.2,119.6
brinjal,7,24.9,90,112.9,43.4,119.4
brinjal,6.1,21.7,90,134.3,40.9,98.9
brinjal,6.4,29.2,90,144.7,56.9,108.1
brinjal,7.4,28.7,90,123.1,66.5,87.1
brinjal,7,28.1,90,102.2,51.9,97.9
brinjal,6.6,25.3,90,123,55.5,97.9
brinjal,6.1,20.5,90,103.5,69.7,84.9
brinjal,7.4,29,90,107.7,52.1,86
brinjal,6.3,22.1,90,139.9,79.7,104.9
brinjal,7.3,28,90,143.3,62.1,118.1
brinjal,6.5,25.6,90,116.6,49.5,84.4
brinjal,6.2,23.2,90,105.7,71.4,111.6
brinjal,6.7,18.4,90,117.5,55.9,101.8
brinjal,7.3,25,90,109.2,52.9,82.5
brinjal,6.2,22.1,90,105.7,71.7,100.3
brinjal,6.5,25.9,90,147.5,52,92.9
brinjal,6.1,18.6,90,141.5,73.6,85.2
brinjal,7,24.9,90,121,76.1,111.8
brinjal,6.1,25.4,90,117.4,78.3,90.7
brinjal,6.2,28.6,90,111.7,47.6,92.2
brinjal,7.4,26.6,90,108,58.1,115.1
brinjal,6.7,19.8,90,104.3,67.1,104.5
brinjal,6.5,23.6,90,129.7,51.6,106.2
brinjal,6.1,26.4,90,125.7,68.9,87.7
brinjal,6.5,25.5,90,132.5,63.6,80.4
brinjal,6.8,28.9,90,137.3,60.7,98.1
brinjal,6.4,28.4,90,111.4,62.9,98.4
brinjal,6.9,22.8,90,108.6,65.4,95.5
brinjal,7.4,21.1,90,126.6,70.3,108.4
brinjal,7.3,25.1,90,124.7,47,106.6
brinjal,7.4,22,90,148.6,68.7,87.3
brinjal,6.6,29.3,90,142.6,66.7,96.9
brinjal,6.6,24.1,90,133.9,49.9,108.8
brinjal,6.5,18.3,90,137.5,67.4,114.4
brinjal,6.1,20.9,90,138.1,56.5,86
brinjal,6.6,28.7,90,131.1,43.6,100
brinjal,6.6,24,90,118.5,67.1,91
brinjal,6.7,25.5,90,106.5,68,112.5
brinjal,7,21.7,90,129.9,46.1,109.6
brinjal,7.1,21.1,90,122.2,61.9,81.4
brinjal,6.3,21.3,90,108,64.1,107.9
brinjal,6.4,25,90,112.2,63.9,103.4
brinjal,7.1,22.4,90,123,50,114.4
brinjal,6.2,21.4,90,126.7,69.6,108.5
brinjal,7.2,19,90,148.4,63.6,92.9
brinjal,6.6,25,90,136.2,53.1,85.4
brinjal,6.6,26,90,116.2,40.1,115.5
brinjal,6.5,22.9,90,100.3,43.9,101.5
brinjal,7.4,28.4,90,108.6,53.2,110.6
brinjal,6.3,22.3,90,141.3,40.8,117.3
brinjal,6.9,24.3,90,115.3,52.7,101
brinjal,6.6,26.5,90,105.2,58.5,114.3
brinjal,7,26.3,90,100,47.8,112.8
brinjal,6.3,24.2,90,146.5,54.6,81.4
brinjal,7.3,29.9,90,117.2,41.3,96.1
brinjal,6.5,19.5,90,125.6,77.5,117
brinjal,6.6,29.3,90,137.1,51.8,107.4
brinjal,6.3,29.4,90,132,40.5,89.9
brinjal,6.3,18.8,90,130.5,51.7,115.2
brinjal,7,18.3,90,125.5,60,93.6
brinjal,6.1,27,90,141.6,52.1,106.3
brinjal,6.9,28.6,90,142.8,61.6,99.5
brinjal,6.3,20.3,90,119.5,69.9,113.4
brinjal,6.9,19,90,118.8,74.3,119.2
brinjal,6.6,23.3,90,137.7,46,101.7
brinjal,7,19.4,90,126.9,52.9,84.2
brinjal,6.4,28.6,90,109.4,47.1,99.1
brinjal,7,27.6,90,129.1,47.5,82
brinjal,6.7,19.7,90,121.1,65.3,108.8
brinjal,7,27.9,90,114.1,77,117.8
brinjal,6.7,26.3,90,115.5,74.9,97.6
brinjal,6.6,18,90,121.6,54,86.4
brinjal,6.1,25,90,129.5,42.9,107.8
brinjal,6.7,29.3,90,140.4,73.6,104.1
brinjal,7.2,21.8,90,122.7,79.8,84
brinjal,6.4,26,90,140.6,57.5,101.2
brinjal,6.7,20.9,90,139.4,70.8,112.1
brinjal,6.1,29.6,90,141.2,74.9,85.4
brinjal,7.1,24.7,90,144.6,67.8,93.3
brinjal,6.7,26.6,90,143.4,41.2,88.1
brinjal,6,28.4,90,104.9,69.6,110.2
brinjal,7.2,27.6,90,123,55.3,117.1
brinjal,6.1,21.8,90,115.3,47.1,91.6
brinjal,7.5,27.4,90,110.2,55.5,108.8
brinjal,7.3,25.6,90,103.5,44.4,117.1
brinjal,6.2,29.8,90,127.1,57.5,112.6
brinjal,7.1,22.3,90,107,43.3,119.8
brinjal,6.8,29.4,90,102.7,46.4,98.6
brinjal,7.4,25.9,90,128.7,65.9,112.7
brinjal,7.1,25.1,90,144.6,51.1,116.9
brinjal,6.8,25.5,90,140.3,75.4,80.8
brinjal,7.3,25.8,90,128,65,118.8
brinjal,6.8,25.6,90,110.5,48.8,96.8
brinjal,6.7,18.2,90,122,58.7,119.2
brinjal,6.1,22.7,90,142.7,52.4,88.5
brinjal,6.1,26,90,109.1,47.9,97.7
brinjal,6.9,21.1,90,111.9,48,84
brinjal,6.5,24.4,90,126.9,57.8,101.3
brinjal,7.1,27.7,90,103.4,61.8,86
brinjal,6.6,18.5,90,134.8,70.4,113.1
brinjal,6.3,27.2,90,113.3,46.6,104.5
brinjal,7.2,25.5,90,136.4,72.1,80.9
brinjal,7.3,27.1,90,133.8,54.3,101.7
brinjal,6,25.6,90,106.4,51.8,80.8
brinjal,6.9,26.2,90,131.1,66.9,85.4
brinjal,6.9,18.7,90,124.5,67.6,115.1
brinjal,6.9,20.8,90,104,60.2,98.5
brinjal,7.2,20.4,90,130.2,62,83.3
brinjal,6.5,23.5,90,122.2,77.7,118.7
brinjal,7.2,21.8,90,120.1,62.8,109.6
brinjal,6,30,90,109.8,52.9,90.8
brinjal,7.2,29.4,90,108.4,48.8,116.1
brinjal,6.3,27.5,90,105.7,42.1,87.7
brinjal,6.6,27.8,90,106.1,40.2,81.2
brinjal,6.7,22.7,90,103.9,58.6,112.4
brinjal,6.7,20.3,90,111.4,51.3,109.3
brinjal,7.1,19.7,90,119.6,44,104.2
brinjal,6.3,22.2,90,148,52.7,110.1
brinjal,7.3,27,90,135.6,74.4,95
brinjal,6.8,25.5,90,115.4,56.1,116.1
brinjal,7.4,26.9,90,129.8,55.9,90.4
brinjal,7.2,20.6,90,102.2,40.3,91.4
brinjal,7.1,29.9,90,129,72.9,118.8
brinjal,6.1,23.5,90,119.9,45.2,118.8
brinjal,6.3,18.7,90,102.2,42.9,105.7
brinjal,6.5,27.8,90,126.9,50.1,87.8
brinjal,7.5,29,90,102.7,78.6,87.3
brinjal,6.1,29.5,90,147.1,43.5,101.7
brinjal,7.5,23.9,90,123.3,72.5,118.1
brinjal,6.6,28.1,90,126.4,75.6,82.1
brinjal,6.3,22.2,90,125.3,72,83.8
brinjal,7,25.1,90,109.4,46.7,119
brinjal,7,29,90,119,71,92.2
brinjal,6.7,22.7,90,121,48.1,110.1
brinjal,6.3,28.6,90,136.7,76.9,98.9
brinjal,6.4,20.7,90,131.4,76.5,92.4
brinjal,6.1,24.8,90,101.5,55.9,89.4
brinjal,6,27.3,90,100.4,64.1,93.4
brinjal,6.9,27.1,90,111.2,65.5,99.1
brinjal,6.8,19.3,90,117.3,68.1,97.3
brinjal,6.4,23.3,90,128.6,47.2,95.2
brinjal,6.1,20.2,90,149.3,59.3,99
brinjal,7.3,24.3,90,109.8,77.3,80.3
brinjal,6.2,20.3,90,144.3,47.4,102.5
brinjal,6,20.1,90,136.7,78.2,107.1
brinjal,7.5,19.7,90,144.7,76.5,80.4
brinjal,7.3,22.1,90,129.9,46.5,107
brinjal,6.7,22.5,90,133.8,52.5,98.4
brinjal,7.3,18.2,90,144,43.8,118
brinjal,6.3,27.6,90,105.7,64.5,94.5
brinjal,6.8,28.3,90,135.9,42,115.3
brinjal,7.3,26.2,90,123.1,64.5,101.1
brinjal,6.9,18.3,90,107.3,60,99.8
brinjal,7.3,24.8,90,148.1,48.5,90.2
brinjal,6.3,18.7,90,148.4,68,114.7
brinjal,6.4,26.8,90,116.5,72.9,118.1
brinjal,6.8,23.5,90,146.3,62.4,81.5
brinjal,7.4,18.4,90,146.5,54.3,110
brinjal,7.4,18.4,90,120.3,51.5,87.9
brinjal,6.6,29.7,90,129.9,50.5,91.5
brinjal,6.2,27.7,90,113,76,119.6
brinjal,6.9,24.9,90,114.8,53.3,106.7
brinjal,7.3,25,90,114.6,58,103.8
brinjal,6.6,27,90,149.3,41.8,93.8
brinjal,7.4,26.8,90,118.1,61.6,84.2
brinjal,6.1,19.7,90,149.6,64.1,88.2
brinjal,6.6,25.3,90,106.8,53.7,90.5
brinjal,6.6,26.7,90,131.6,78.4,95.4
brinjal,6.8,23.8,90,129.9,73.1,93
brinjal,7.3,27.4,90,127.9,51.7,83.9
brinjal,7.3,21.2,90,126,63.9,97.7
brinjal,6.2,28.9,90,136.8,76.9,81.1
brinjal,6.1,19.4,90,119.4,74.9,119.1
brinjal,6.9,26.5,90,142,55.6,119.1
brinjal,7,24.3,90,131.1,72.1,101.9
brinjal,6.6,27.2,90,130.6,69.3,94.3
brinjal,6.9,22.4,90,115,49.7,101.3
brinjal,6.5,19.5,90,109.3,76.6,86
brinjal,6.8,20.4,90,143.2,72.9,89.1
brinjal,7,20.1,90,132.3,42.5,117.3
brinjal,6.6,29.2,90,124.8,67.6,113.7
brinjal,7.2,25.5,90,106.9,73.2,97.8
brinjal,7.2,22,90,141.9,41,100
brinjal,7.1,23.6,90,143.1,55.4,94.7
brinjal,7,27.2,90,143.7,53,92.8
brinjal,7.4,24.9,90,112.2,75.7,83.5
brinjal,6.7,22.8,90,136,53.1,81
brinjal,7.5,25.5,90,119.4,46.9,113
brinjal,6.6,21.5,90,147.6,64.2,106.2
brinjal,6.1,24.6,90,124.7,65.7,104.2
brinjal,6.7,20.3,90,140.5,76.8,106.9
brinjal,6.1,28.6,90,111,68.3,109.7
brinjal,6.9,22.9,90,107.1,59,99.6
brinjal,6.3,23.4,90,120.9,63.3,117.7
brinjal,7.2,18.9,90,147.6,43.3,93.2
brinjal,6.5,29.9,90,120,63.8,96.8
brinjal,6.2,21.6,90,126.2,48.5,92.5
brinjal,7.4,24.5,90,111.3,53.8,87.1
brinjal,7.1,19.6,90,127.8,48.8,84.3
brinjal,6.1,21,90,114.4,70.2,105.1
brinjal,6.7,28.3,90,124,57.7,80.6
brinjal,6.8,22.7,90,148.2,55.2,87.8
brinjal,6.6,20.1,90,148.8,41.2,85.8
brinjal,7.2,21.5,90,142.8,43.4,103.9
brinjal,6.8,18.5,90,143.2,56.7,94
brinjal,7.1,25.6,90,126.7,71.9,114.1
brinjal,6.6,23.3,90,116.2,59.9,103.4
brinjal,7.1,23.4,90,104.6,71.9,107.3
brinjal,7.1,27.6,90,112.7,58,99.9
brinjal,7.5,19.2,90,118.7,69.6,114.2
brinjal,7,27.5,90,110.4,65.3,114.2
brinjal,6.2,23.7,90,131.2,59.1,97.4
brinjal,6.3,22.3,90,148.6,47.8,107.8
brinjal,7.1,21.1,90,105.3,59.9,89.9
brinjal,7.2,20,90,135.8,50.9,116.9
brinjal,6.9,18.5,90,127.7,77.6,84.7
brinjal,6,24.1,90,108.1,53.7,105.9
brinjal,7.3,29.8,90,101.3,40.3,93.9
brinjal,6.8,24.9,90,137.3,57.7,99.6
brinjal,7.3,22.8,90,130.7,43.1,102.3
brinjal,6.9,26.1,90,118.9,48.8,115.3
brinjal,7.3,22.5,90,145.4,56.8,99.9
brinjal,6,25,90,101.8,78.7,102.3
brinjal,6.8,25,90,116.2,48.1,100.4
brinjal,6.6,26.9,90,143.1,47.8,87.3
brinjal,6.9,23.4,90,104.6,41.8,109.6
brinjal,6.1,28.7,90,125.7,56.6,93.2
brinjal,7.2,24.8,90,117.7,56.1,91
brinjal,7.4,29.8,90,122.2,58.7,92.7
brinjal,6.3,20.4,90,121.4,66.2,113.1
brinjal,6.8,27.4,90,142.1,45.2,97.5
brinjal,6.9,23.8,90,143.6,72.8,81.8
brinjal,6.1,25.4,90,138,45.8,100.7
brinjal,6.9,25.1,90,132,47.5,83.6
brinjal,7.4,26.7,90,142.8,48.5,98.6
brinjal,6,20.1,90,146.8,68.1,81.9
brinjal,6.4,20,90,115.1,75.3,87.9
brinjal,7.2,29.4,90,119.1,53.9,97.2
brinjal,6.6,24.8,90,127.5,55.7,112.6
brinjal,7.4,27.2,90,127.6,46.5,98.8
brinjal,7.4,22.4,90,145.1,66.8,104.9
brinjal,7.2,24.8,90,142.1,63.9,82.3
brinjal,7.1,25,90,122.7,74.9,84.2
brinjal,7,24.4,90,106,77.6,80.5
brinjal,7.1,29.4,90,144.8,73.2,103.9
brinjal,7,18.6,90,136.5,65.3,98.2
brinjal,7.3,29.3,90,111.7,77.9,93
brinjal,6.1,21.3,90,146.2,57.8,97.9
brinjal,6.5,22,90,141.9,77.3,82
brinjal,7.2,23.7,90,105.4,64.5,115.9
brinjal,6.5,26,90,111.7,43.2,83.9
brinjal,6.4,25.9,90,112.9,79.5,109.9
brinjal,6.9,29,90,109.2,62.4,109.5
brinjal,7.1,28,90,143.5,60.6,82.8
brinjal,6.5,29.5,90,126.8,59.9,80.9
brinjal,6.4,22.4,90,130.3,60.4,111.4
brinjal,6.3,22,90,108.2,74.7,82.1
brinjal,6.8,20,90,103,73,92.6
brinjal,6.4,25.4,90,110.3,62.4,91.4
brinjal,6.8,24.3,90,140.9,46.6,114.3
brinjal,6.4,23.2,90,116,77.4,84.9
brinjal,6.5,24.9,90,124.2,42,90.7
brinjal,6.4,24.6,90,125.7,71,84.2
brinjal,6.2,23.3,90,131.9,59.9,89.7
brinjal,6.9,28.4,90,118.8,71.8,109.3
brinjal,6.6,23.4,90,105.5,54.9,100.7
brinjal,7.4,28.2,90,133.2,79.5,83.7
brinjal,6.7,21.9,90,139,59.2,101.9
brinjal,7.4,24.1,90,140.1,62.2,89.9
brinjal,7,19.5,90,120.4,40.9,82.3
brinjal,7.3,19.1,90,101.3,68.4,82.6
brinjal,6.6,22.5,90,141.4,75.3,94.9
brinjal,6.4,25.8,90,103.6,46.7,94.3
brinjal,6.6,22.5,90,100.1,56.5,93.9
brinjal,6.9,28.6,90,114.6,53.4,106.2
brinjal,6.3,21.4,90,109.9,74.8,98.4
brinjal,6.3,22.2,90,120.8,50.3,113.7
brinjal,6.6,25.8,90,119,63,94.1
brinjal,6.2,18,90,117.2,61,116.9
brinjal,6.6,22.9,90,140.7,56,91.3
brinjal,6.3,21.3,90,125.4,79.4,109.4
brinjal,7.3,24.9,90,139.8,74.5,86
brinjal,6.6,26.3,90,141.7,61.2,95.7
brinjal,6,20.2,90,125.7,54.4,119.5
brinjal,6.8,30,90,107.9,69.4,115.4
brinjal,6.1,26.2,90,100,61.2,117.5
brinjal,7.1,22.3,90,142.5,46.3,105.8
brinjal,6.1,23.3,90,115.7,50.9,105.4
brinjal,6.6,22,90,144.4,47.6,117.3
brinjal,7.4,22,90,142.4,58.4,83.5
brinjal,6.9,22.3,90,109.7,44.4,84.1
brinjal,7.4,22.3,90,146.9,55.9,100.6
brinjal,6.1,24.3,90,119.7,46.8,107.6
brinjal,7.2,24.1,90,111.3,71.6,94.5
brinjal,6.9,19.1,90,116,69.4,111
brinjal,6,25.8,90,135.3,50.1,87.5
brinjal,6.7,29.6,90,127,68.1,97.4
brinjal,6.7,18.4,90,143.4,66.3,91
brinjal,6.8,29.1,90,120.7,64.4,119.4
brinjal,6.6,28.7,90,107.5,63.6,87.1
brinjal,6.4,20.3,90,112.2,61.8,106.1
brinjal,7,27.6,90,137.8,40.7,99.3
brinjal,7.5,22.9,90,114,68.5,98.5
brinjal,6.2,27.7,90,134.6,52.3,92.1
brinjal,6.5,29.7,90,124.5,53.3,116.5
brinjal,6.9,24.6,90,139.6,72.6,83.9
brinjal,7,26.7,90,134.4,53.3,104.7
brinjal,6,26.6,90,115.6,65,104.8
brinjal,6.6,22.6,90,125,68.7,112.3
brinjal,7.2,18.6,90,121.4,67.5,113.3
brinjal,6.5,26.9,90,114.2,62.3,103.6
brinjal,7,20.8,90,130,75.5,94.7
brinjal,6.1,28.4,90,145.2,52.2,111.9
brinjal,6.4,28.4,90,145.1,78.9,113.2
brinjal,6.4,22.2,90,125.7,77.7,91.5
brinjal,6.6,23.2,90,125.4,52.7,111.3
brinjal,7.3,28.7,90,115.5,73.8,111
brinjal,7,28.6,90,127.2,42.1,89.1
brinjal,7,24.2,90,115.8,61.8,104.4
brinjal,6.2,28.4,90,139.2,47.5,112.4
brinjal,7.3,29,90,128.4,74.4,99.1
brinjal,6.9,23,90,111.6,66.4,117
brinjal,7,23.3,90,135.1,47.8,114.6
brinjal,7.2,18.1,90,122.9,57.3,113.9
brinjal,7.2,24.9,90,143.1,79.5,109.5
brinjal,6.3,19.3,90,116.1,48.9,110.1
brinjal,6,27.3,90,110.2,48.5,105.8
brinjal,6.5,27.3,90,142.4,79.4,98
brinjal,6.5,26,90,133.5,43.4,109.8
brinjal,7.2,18.9,90,138.9,67.3,113.1
brinjal,6.6,27.1,90,131.2,69.4,99.9
brinjal,7,20,90,118.9,75.2,114.7
brinjal,7.2,26.5,90,119.7,51.3,92.4
brinjal,6.5,25.9,90,116.8,72,99.1
brinjal,7,19.4,90,102.2,45.6,111.4
brinjal,6.4,27.4,90,139.9,42.9,89.8
brinjal,7.1,24.3,90,114.7,42.3,94.3
brinjal,6.7,28.2,90,142.7,57.7,91.8
brinjal,7,20.8,90,109.6,55.4,114.7
brinjal,7.5,19.4,90,106.6,78.6,92.3
brinjal,6.8,28.6,90,136.1,70.6,107.7
brinjal,6.8,25.6,90,120.1,68,115.8
brinjal,7.5,18.9,90,125.5,53.1,114.1
brinjal,7.1,24.5,90,110.8,58.6,85
brinjal,7.1,28.2,90,120.4,43.2,112
brinjal,7.2,19.1,90,134.3,68.3,93.9
brinjal,7.2,21.3,90,101.8,63.7,116.1
brinjal,6.6,21.9,90,129.6,44,94.6
brinjal,7.3,26.2,90,112.3,68.1,117.2
brinjal,6.1,28.3,90,144,79.1,118
brinjal,6.3,26.8,90,121.9,71.8,118.9
brinjal,7.1,19.5,90,139,75.4,81.5
brinjal,7.1,24.4,90,109.6,64,102.3
brinjal,7.1,21.1,90,112.4,69.9,96.1
brinjal,6.2,22.4,90,102.7,48.2,93.7
brinjal,6.2,20.3,90,122.7,75.7,111.3
brinjal,6.9,20.7,90,148.7,64.5,105
brinjal,7.3,21.3,90,111.1,43.8,85.7
brinjal,6.2,22.4,90,113.2,56.5,86.1
